title,subtitle,author,synopsis,title_type,mission
Peak Performance 101,How to reach your potential and perform at your best when it matters most,,"Ready to reach your potential and perform at your best when it matters most? Fantastic. Let’s get clear on where you’re headed, go all in, and cultivate our grit + presence + self-confidence as we vacuum up any potential choke dust, visualize, let it rip and win or learn.",101 Classes,Peak Performance
It Takes What It Takes,How to Think Neutrally and Gain Control of Your Life,Trevor Moawad,"Trevor Moawad is a mental conditioning coach to elite performers. He is well known for being the mental coach to Seattle Seahawks quarterback Russell Wilson and has worked closely with prestigious NCAA football programs and coaches, the US Special Operations community, Major League Baseball, and the NBA. This book is, as per the sub-title, all about “How to Think Neutrally and Gain Control of Your Life.” I loved it and, if you’re also equally fired up by the mental toughness in sports and life genre, I think you’ll enjoy it as much as I did. Big Ideas we explore include neutral thinking (much better than positive or negative), goats and G.O.A.T.s, the law of substitution (focus!), the illusion of choice (if you’re REALLY ALL IN, there is no choice), and drawing a line in the dirt (and getting to it… again and again and again!).",PhilosophersNotes,Peak Performance
With Winning in Mind,The Mental Management System,Lanny Bassham,"This is a SHOCKINGLY good book. Want to get your mind right? Lanny Bassham, an Olympic gold medalist, has been teaching the art of mental training/peak performance for decades and this book tells us just how to rock it. In the Note, we'll look at the importance of making the process primary and other fundamentals of mental mastery.",PhilosophersNotes,Peak Performance
Peak,Secrets from the New Science of Expertise,Anders Ericsson & Robert Pool,"Anders Ericsson is the world’s leading scientist studying expert performance—looking at how, precisely, the people who are the best in the world at what they do became the best. In this Note, we take a quick look at The Gift that we all have that’s the key to our potential greatness, HOW to go about tapping into the benefits of that gift via a certain type of practice (forget naive practice and go for purposeful + deliberate!), the fact that there is no such thing as a “10,000 Hour Rule,” and why we should be called Homo Exercens rather than Homo Sapiens. :)",PhilosophersNotes,Peak Performance
One Percent Better,A Story About How To Close The Gap From Where You Are To Where You Want To Be,Brian Cain,"Brian Cain is one of the world’s greatest mental toughness coaches whose client list includes four Major League Baseball Cy Young Award winners, eight UFC world champion mixed martial artists, World Series and Super Bowl Champions and MVPs, Olympic medalists, and countless other elite athletes and coaches. In this note, we explore how you can ""intentionally invest 1% of your day into yourself and become a better version of you today than you were yesterday."" How will YOU get 1% better TODAY? It's Day 1, Hero.",PhilosophersNotes,Peak Performance
Legacy,,James Kerr,"New Zealand’s national rugby team The All Blacks are arguably THE greatest team ever. In this book, James Kerr unpacks what makes them so great and how we can lead + create a Legacy. Big Ideas we explore include the fact that Better People Make Better All Blacks, Kiwi Kaizen, embracing expectations and leaning into the power of Loss Aversion (remember: no pressure, no diamonds), hitting the psychological gym and answering a couple questions that will help clarify YOUR legacy.",PhilosophersNotes,Peak Performance
Overachievement,The New Science of Working Less to Accomplish More,"John Eliot, Ph.D.","If you're looking to live an extraordinary life, this great book lays out the new model for rockin' it. In the Note, we'll explore some Big Ideas on how to get into your Trusting Mindset where you just let it rip as you eat stress like an energy bar and put yourself on super pilot. Remember that everyone who's ever made history was a nut… until they did what they said they'd do and then they were a genius.",PhilosophersNotes,Peak Performance
Talent is Overrated,What Really Separates World-Class Performers from Everybody Else,,"Colvin tells us talent is overrated. (As you may have gathered from the title. :) Where’s it at? 10,000 hours of deliberate practice, yo. That’s the bedrock on which greatness is developed. In this Note, we’ll check out The Mozart Myth (you think he was born great?! Think again!) to falling on your butt 20,000 times, and we’ll have fun seeing how we can create our own personal greatness.",PhilosophersNotes,Peak Performance
How Champions Think,In Sports and in Life,Bob Rotella,"Dr. Bob Rotella is widely recognized as the world’s leading sports psychologist. He’s coached everyone from basketball stars like LeBron James to rock stars like Seal. The golfers he’s coached (including greats like Rory McIlroy) have won an astonishing 80+ major championships. Want to know how champions think in both sports AND life? Well, here you go. Big Ideas we explore include the importance of going for ""exceptionalism"" (by definition, to be great/a champion you need to be an ""exception"" to the norm so...), a message from God (key takeaway: focus on the process, results are all good), train it and trust it, enthusiasm (it's the catalyst of champions), how to create your own reality (hint: don't do what average people do), and how to win the ultimate game of life.",PhilosophersNotes,Peak Performance
Relentless,From Good to Great to Unstoppable,Tim S. Grover,"Tim Grover was Michael Jordan’s trainer and, basically, his mental toughness coach. Kobe Bryant’s as well. And Dwayne Wade’s. And... Well, a ton of other elite athletes. He’s one of the world’s top mental toughness coaches and this book is, as per the sub-title, a manual on how to go “From Good to Great to Unstoppable.” Big Ideas we explore include: relentless commitment (vs. ""Meh, good enough""), Do. The. Work (eat frogs and dominate), Pressure (pressure, pressure! BRING IT ON!), the source of true confidence, greatness math (remember: effort counts twice; just ask Michael Jordan and Jerry Rice), and turning your dreams into reality (ready?).",PhilosophersNotes,Peak Performance
David and Goliath,"Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,"As millions of people would agree, Malcolm Gladwell is an extraordinarily (!) captive writer. This is another one of Gladwell’s gems—packed with riveting stories that challenge our notion of what it means to be an underdog and how, as the sub-title suggests, we can embrace our misfit status as we master the art of battling giants. It’s awesome—especially if you’re looking for a fun, entertaining read that’s packed with wisdom but delivered in a delightful package. Big Ideas include the fact that David SHOULD have won, full-court presses, the inverted U, earning courage and desirable difficulties.",PhilosophersNotes,Peak Performance
No Limits,The Will to Succeed,Michael Phelps & Alan Abrahamson,"Michael Phelps is the most decorated Olympian in history and arguably the greatest athlete ever. This book is a quick look at 8 virtues that led to his 8 gold medals in '08. Big Ideas we explore include how to train your mind, going all in, knowing what's important now (aka W.I.N.), and not confusing ""can't"" vs. ""won't.""",PhilosophersNotes,Peak Performance
The Inner Game of Tennis,The Classic Guide to the Mental Side of Peak Performance,W. Timothy Gallwey,"Originally published in 1974, this book is, as the sub-title suggests, the classic guide to the mental side of peak performance and transcends tennis/sports. If we want to win the game of life, we've gotta start by winning the inner game. In the Note, we'll take a quick look at how to do that, learning about Self 1 + Self 2 (and how to help them get along), quieting our mind and asking for qualities we aspire to have.",PhilosophersNotes,Peak Performance
The Rise of Superman,Decoding the Science of Ultimate Human Performance,Steven Kotler,"The Rise of Superman. What an awesome title and vision. Steven Kotler is one of the world’s leading authorities on the science of flow. He created the Flow Genome Project that is all about “decoding the peak performance state of flow.” (<—Awesome.) In this book we take a peak at how we can get our greatness on. Big Ideas include a quick look at flow and how to hack it, achieving mastery sans misery, using fear as a compass and how to do the impossible.",PhilosophersNotes,Peak Performance
The Talent Code,Greatness Isn't Born. It's Grown.,,"Whatever you want to learn, know this: It’s ALL about the myelin. Myelin? Yep. Myelin. In this Note we’ll learn what myelin is and why it’s so cool along with some other Big Ideas—ranging from the importance of “Deep Practice,” to the importance of baby steps as the royal road to skill and the fact that greatness isn’t about not magic, it’s about hard work.",PhilosophersNotes,Peak Performance
The Little Book of Talent,52 Tips for Improving Your Skills,,"In The Talent Code, Dan Coyle introduced us to the power of myelin and its role in creating world-class performance. In The Little Book of Talent, he shares 52 uber-practical tips on how to improve our skills. Big Ideas we explore include how to actually deliberately practice (hint: find your sweet spot), the most important skill (hint: get good at actually practicing), playing mental movies, adopting a blue collar mind set and thinking like a gardener while acting like a carpenter.",PhilosophersNotes,Peak Performance
Outliers,The Story of Success,Malcolm Gladwell,"As with all of Malcolm Gladwell’s books, this is a fascinating read—exploring the underpinnings of what *really* makes great people great. In short: It’s more complicated than we think and it’s *definitely* not simply innate talent. Culture and hard work and other often wacky variables play a pivotal role. Big Ideas we explore: The 10,000 Hour Rule, no naturals + no grinders, The Beatles (and their 1,200!! shows before they hit it big), Bill Gates sneaking out of bed in high school and the three keys to meaning.",PhilosophersNotes,Peak Performance
#4 Your Infinite Potential,And Where to Find It,,Phil Stutz and Barry Michels wrote a great book called The Tools. There are five Tools in the book and we may chat about others later but I,+1s,Peak Performance
#13 Good Bad Days,Mastering the Art of Playing Badly Well,,Jack Nicklaus once said that the real key to being a great golfer was “playing badly well.” It’s one thing to play well when,+1s,Peak Performance
#15 Did I Win?,How to Sink a $1m Putt and Do Other Great Things,,Gold-medal-winning mental toughness coach and author Lanny Bassham is all about focusing on the PROCESS of goal achievement. He tells a,+1s,Peak Performance
#16 Relentless Solution Focus,60 Seconds of Whining and Then You're On!,,Jason Selk is one of the world’s leading mental toughness coaches. He tells us that the best among us have a “relentless solution,+1s,Peak Performance
"#31 ""Needs work!""",What to Say to Yourself When Things Don’t Go as Planned,,What do you say to yourself when things don’t go as planned? It could be in the middle of a big game or creative project or dinner,+1s,Peak Performance
#56 Greatness = Consistency on the Fundamentals,Universal + Specific (What Are Yours?),,Robin Sharma tells us that greatness is all about consistency on the fundamentals. Look at any great performer and that’s what you’ll,+1s,Peak Performance
#60 Never Waste a Mis-take,It’s All Awesome Data!,,Have you ever made a mistake? (Hah.) Right. (I’ve made a mistake or 3 million as well.) Here’s the deal: When we approach it with the,+1s,Peak Performance
"#62 ""That's Like Me!""",How to Optimize Your Self-Image,,"Whether you’re an athlete, entrepreneur, teacher, parent, manager, or — fill in the blank here —, what percentage of your game do you",+1s,Peak Performance
#63 “That’s NOT Like Me!”,Part II on How to Optimize Your Self-Image,,In our last +1 we had fun cultivating a strong Self-Image via “That’s like me!” imprints. Quick recap: All the elite performers agree:,+1s,Peak Performance
#65 Sacrifices vs. Decisions,There’s a Big Difference between the Two,,"George St-Pierre is one of the greatest mixed martial artists in the world. Ever. Of course, he wasn’t always one of the greatest. At one",+1s,Peak Performance
#92 The Gift of Greatness,We’ve All Been Given It — Here It Is,,Anders Ericsson is the world’s leading authority on the science of what makes great performers great. If you’ve ever heard of the,+1s,Peak Performance
#94 Adaptability + Homeostasis,Why Getting Out of Your Comfort Zone Is So Important,,We’ve talked a lot about how important it is to get out of our comfort zones. But why is it so important? Two words: Adaptability +,+1s,Peak Performance
#160 Presence,Expanding into Your Best Self,,"In our last +1, we talked about the fact that the word courage comes from the Latin word for “heart.” Just as our heart pumps blood to",+1s,Peak Performance
#165 Flow,What It Is & How to Get in It,,Mihaly Csikszentmihalyi is one of the world’s leading researchers studying the science of well-being. He co-founded the Positive,+1s,Peak Performance
#230 Marginal Gains,Here’s How to Win,,"Once upon a time, no British cyclist had ever won the Tour de France. Over 100 years of trying, and, precisely, zero wins. Then a guy named",+1s,Peak Performance
#264 Prior Best = New Baseline,Your Best Days? That’s Your New Normal,,"In our last +1, we entered our World Champion You Training Camp. * Cue Rocky theme song * Here’s one way Josh Waitzkin tells us we can go",+1s,Peak Performance
#311 Ideal Performance State,Emotional Consistency and Peak Performance,,Jim Loehr is one of the world’s leading authorities on peak performance. He and Tony Schwartz wrote The Power of Full Engagement and,+1s,Peak Performance
#319 You Think You’re at an 8,But You’re Really at a 2,,"In our last +1, we talked about Tony Horton and the voices in his head that get him to work out consistently. Today we’re going to talk",+1s,Peak Performance
#367 Optimize = Optimus,= The Best Version of You,,Somehow we’ve spent a year together with these Optimize +1s and we haven’t even talked about the ancient etymology of one of my favorite,+1s,Peak Performance
#544 Becoming a Champion,What’s Your Best REALLY Look Like?,,"In our last +1, I introduced you to my new watch, Mr. Suunto, who asks me every day, “What direction are you headed today, sir?” To",+1s,Peak Performance
#545 Being a Champion,Is Way More Important Than Becoming a Champion,,"In our last +1, we talked about my mission to become a Spartan World Champion. My heart skips a beat just typing that. ❤ (Which, btw, is a",+1s,Peak Performance
#546 Catching Excellence,As We Chase Perfection,,"In our last +1, we talked about Ben Bergeron—the CrossFit Games coach whose athletes have won six world championships. I briefly mentioned",+1s,Peak Performance
#551 Maximizing Minutes,Ben Bergeron + Dan Millman on Mastery,,A few +1s ago we spent some time with world-champion CrossFit coach Ben Bergeron. Let’s have another quick wisdom session with this,+1s,Peak Performance
#560 Full Effort = Full Victory,"Gandhi, Matt Damon and Will Smith on Winning",,We’ve been talking a lot about how champions maximize minutes—giving everything they’ve got into being the best versions of,+1s,Peak Performance
#587 Making the Impossible Possible,How to Make It What’s for Breakfast in X Tomorrows,,"As we’ve discussed, Steven Kotler wrote The Rise of Superman. His “No pressure, no diamonds” mantra goes through my head at least a",+1s,Peak Performance
#588 Flow Junkies,How to Attain Superyou Mastery Sans Misery,,"In our last +1, we made our plans to enjoy doing the impossible together over breakfast in the not-too-distant future after following a nice",+1s,Peak Performance
"#617 Touchdown, Jerry Rice!",When? Every Time He Caught the Ball,,"Not too long ago, we had fun discussing some wisdom from Jerry Rice—the all-time great NFL wide receiver. He once said: “Today I will do",+1s,Peak Performance
#690 Your Engine: V-12 or V-Lawnmower?,Which Will It Be?,,"Continuing our theme of seeking/conquering fear, let’s have some fun with Jon Eliot and his wisdom from Overachievement. Here’s how he",+1s,Peak Performance
#856 Practicing with Kobe (At 4am),Wonder What We’ll Work On…,,"In our last +1, we chatted about The Comparison Game with Alan Stein. Remember: The odds of us losing that game are (precisely!) 100%. So…",+1s,Peak Performance
#857 Practice: When Can I Stop?,Great Ones Say…,,"In our last +1, we hung out with Kobe Bryant and Alan Stein in the gym at 4am. Doing what? HAMMERING our fundamentals, of course. (Fun fact:",+1s,Peak Performance
#925 C.A.N.O.E-ing,On the Optimizing River of Flexibility,,"One of the core themes of our work together (in these +1s and in our Coach program, etc.) is the power of constantly (!) experimenting as we",+1s,Peak Performance
#991 The Peak Performance Equation,Stress + Rest = Growth,,"In our last +1, we talked about some wisdom from Brad Stulberg and Steve Magness’s great book The Passion Paradox. Recall1: We can have",+1s,Peak Performance
#1138 Playing to Win,vs. Playing Not to Lose,,"Wrapping up our tour through Robert Biswas-Diener’s brain and book, let’s talk about another Tool we can use to boost our Courage",+1s,Peak Performance
#1219 SEALs and Hoosiers,Get Your Tape Measure Out and Let’s Go!,,"In our last +1, we made it through one evolution at a time with William McRaven as he endured Hell Week and became a Navy SEAL. Fast forward",+1s,Peak Performance
#1220 Peak Performance You,Flip the Switch—TODAY!,,"In our last +1, we got an inspiring (Hoosiers-inspired) pep talk from Admiral McRaven right before engaging in our next most important",+1s,Peak Performance
#1257 “That Works!”,Let’s Do It Again (And Again) (And Again),,"In our last +1, we talked about Trevor Moawad’s distinctions on Conscious Competence from his great book It Takes What It Takes. As we",+1s,Peak Performance
#1262 Goats and G.O.A.T.s,Game-Winning Touchdowns and Home Runs Gowith Game-Losing Interceptions and Strike Outs,,Today we’re going to continue our brief tour through Trevor Moawad’s brilliant mind and book It Takes What It Takes. As we’ve,+1s,Peak Performance
#1263 The Illusion of Choice,Want Greatness? There Is No Choice,,"We’re kinda on a roll exploring some of Trevor Moawad’s peak performance wisdom from his great book It Takes What It Takes so, I say,",+1s,Peak Performance
#1267 Targeted Thinking,What Do You Want + Now What Needs to Be Done?,,I’ve been thinking a lot about the whole idea of “neutral” thinking since I first read about it in Trevor Moawad’s It Takes What It,+1s,Peak Performance
#1280 How to Be a Success,Wisdom from Two World-Class Coaches Named Phil,,"In our last +1, we drew some Venn circles with my Yoda and had fun high fiving God by giving ALL we’ve got. Today I want to chat about",+1s,Peak Performance
An Astronaut's Guide to Life on Earth,"What Going to Space Taught Me About Ingenuity, Determination, and Being Prepared for Anything",Chris Hadfield,"Chris Hadfield is the super cool guitar-strumming Canadian astronaut who served as Commander of the International Space Station. This is his guide to life on Earth. It’s awesome. Big Ideas we explore include the power of negative thinking, why we need to sweat the small stuff, creating deep love time blocks and finishing strong.",PhilosophersNotes,Peak Performance
Chasing Excellence,A Story About Building the World's Fittest Athletes,Ben Bergeron,"If you’ve ever worked out at a CrossFit gym and/or watched the Reebok CrossFit Games, you know that the absolute best CrossFit athletes are absolute beasts. Well, Ben Bergeron has been the coach behind six world championships. This book is his inspirational, wisdom-packed (!!!) look at how he coaches greatness told through the lens of the 2016 Games in which his athletes (Mat Fraser and Katrín Davíðsdóttir) BOTH won. (Think about that... He coached BOTH the men’s and the women’s champions. <- That’s amazing.) My copy of the book is r i d i c u l o u s l y marked up. The book is OUTSTANDING. Big Ideas we explore include: Committing to excellence (vs. ""Meh, I'm good enough.""), the 12 character traits of a champion, grit (how's yours?), positivity (selection attention + confirmation bias), embracing adversity (overload and get stronger!), and acting like a champion NOW.",PhilosophersNotes,Peak Performance
Elite Minds,How Winners Think Differently to Create a Competitive Edge and Maximize Success,Dr. Stan Beecham,"Stan Beecham is a sports psychologist who has worked with many of the world’s elite athletes. As per the title of the book, he tells us that it’s their MINDS that make the difference in sustained high levels of performance—creating a competitive edge and maximizing success. Big Ideas we explore include your case of mistaken identity (you're greater than you think), the curse of perfection (remember to play poorly well), the true meaning of the word ""compete"" (= ""to strive WITH"" not against) and of the word ""contest"" (= ""to make a promise""!) your ultimate opponent (fear!!) and the ultimate question: To go or not to go (Answer: GO!!!).",PhilosophersNotes,Peak Performance
Finding Your Zone,Ten Core Lessons for Achieving Peak Performance in Sports and Life,Michael Lardon,"Would you like to find the Zone more often? Well, yah! Leading sports psychologist Michael Lardon, M.D. shows us how. 10 core lessons. In the Note, we'll look at why you want to have two scorecards, the importance of activation energy (451 degrees, please!!) and how to keep your confidence dialed in.",PhilosophersNotes,Peak Performance
He Can Who Thinks He Can,And Other Papers on Success in Life,Orison Swett Marden,"Do you think you can or do you think you can't? As Henry Ford told us, either way you're right. Orison Swett Marden (who created Success magazine) walks us thru some old-school no-nonsense mojo in this great little book. In the Note, we'll look at the power of being a functional dreamer and bringing ourselves to a 212 degree boil!",PhilosophersNotes,Peak Performance
How Bad Do You Want It?,Mastering the Psychology of Mind over Muscle,Matt Fitzgerald,"Matt Fitzgerald is a journalist, coach, sports nutritionist, and author of more than 20 books. In this book, he walks us through the different scientific perspectives on how to tap into our latent potential with a deep dive into what’s known as the “Psychobiological Model.” It’s a super-engaging look at some ridiculously inspiring elite athletes and how they mastered their minds to do some extraordinary things. Big Ideas we explore include a quick look at the psycholobiological model (see: sub-title of the book: Mastering the Psychology of Mind over Muscle), the fire walk of life (how far do you get to your wall?), the psychology of pain (brace yourself!), perfectionism (vs. optimalism), the audience effect (eyeballs = better performance), motivation (= the strongest influence) and Steve Prefontaine's approach to crushing it (""Bring it on!"").",PhilosophersNotes,Peak Performance
Mastery,,Robert Greene,"Leonardo da Vinci. Charles Darwin. Wolfgang Amadeus Mozart. Martha Graham. The Wright Brothers. Jane Goodall. Benjamin Franklin. Thomas Edison. Zora Neale Hurston. What do they all have in common? Mastery. In this great book Robert Greene shows us the key components of their mastery and, most importantly, how WE can each attain our mastery in our own lives.",PhilosophersNotes,Peak Performance
Peak Performance,"Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success",Brad Stulberg & Steve Magness,"Brad Stulberg is a writer focused on health and the science of human performance. (Amy Cuddy calls him her favorite health and science writer.) Steve Magness is a coach to some of the top distance runners in the world. Together, they’ve written a super-engaging, quick-reading book on how to pursue growth in a healthy, sustainable way—aka, without burning out. Big Ideas we explore include the secret equation of sustainable awesome (Stress + Rest = Growth), just-manageable challenges, the iPhone Effect Part 3 (aka how to decrease your productivity in one step!), the optimal work/rest ratio, and the paradoxical twist of fulfillment.",PhilosophersNotes,Peak Performance
Raise Your Game,High-Performance Secrets from the Best of the Best,Alan Stein Jr.,"Alan Stein is a peak-performance coach who was immersed in the basketball world for fifteen years and now applies that wisdom to the broader game of life. I’m a huge fan of peak performance books, especially those with sports themes so I enjoyed this book. It’s broken down into three parts, capturing the various roles we play in life and work: Part I: Player, Part II: Coach and Part III: Team. Each section features a set of five core virtues we need to master and integrate across each domain. Big Ideas we explore include the importance of Self-Awareness (it's virtue #1!!), two case studies on discipline (featuring Steph Curry and Kobe Bryant), the comparison game (note: you will always (!) lose), the five virtues of being a great Coach, and one more rep (up Hell on the Hill).",PhilosophersNotes,Peak Performance
The Art of Mental Training,A Guide to Performance Excellence,DC Gonzalez,"DC Gonzalez is one of the world's leading peak performance/mental training experts and this quick-reading manifesto on the art of mental training is fantastic. In the Note, we'll take a quick look at why mental training is so important, the critical three (breathing + relaxation + imagineering) and the most important lesson of all.",PhilosophersNotes,Peak Performance
The Champion's Comeback,"How Great Athletes Recover, Reflect, and Re-Ignite",Jim Afremow,"Jim Afremow is one of the world’s leading sports psychologists. We covered his first book The Champion’s Mind. This one is kinda like part 2 in which we look at how the Champion responds to the inevitable (!) setbacks faced on the road to greatness—using those setbacks as opportunities to bounce back and make a sweet comeback. Big Ideas we explore include seeing setbacks as challenges rather than threats, outperforming our contracts, practicing ’till you can’t get it wrong, and the 3 P’s of peak performance.",PhilosophersNotes,Peak Performance
The Passion Paradox,"A Guide to Going All In, Finding Success, and Discovering the Benefits of an Unbalanced Life",Brad Stulberg & Steve Magness,"Brad Stulberg writes, coaches, and speaks on health and human performance. Steve Magness coaches some of the world’s top distance runners and has propelled numerous athletes to Olympic trials, world championship teams, and the Olympics. This is the second book they’ve written together. We featured the first one Peak Performance. When this book came out, Brad reached out to let me know I might enjoy it. I immediately got it, immediately read it and, well, here we are. He was right. I loved it. Big Ideas we explore include the fact that passion needs to be handled with care, the ""fit mind-set"" (vs. the mastery mind-set), two kinds of passion (obsessive vs. harmonious), the mastery mindset (secret sauce #1) and self-awareness (secret sauce #2).",PhilosophersNotes,Peak Performance
The School of Greatness,"A Real-World Guide to Living Bigger, Loving Deeper, and Leaving a Legacy",Lewis Howes,"Ready to attend The School of Greatness? Awesome. Lewis Howes shares his lecture notes from 200+ interviews with extraordinary humans for his uber-popular podcast. Lessons include Creating a Vision + Turning Adversity into Advantage, and Flexing Your Hustle Muscle. To greatness!",PhilosophersNotes,Peak Performance
The Science of Being Great,The Practical Guide to a Life of Power,Wallace D. Wattles,"Wallace D. Wattles. Funny name and funny looking dood but lots of great wisdom. In this Note, we'll have fun looking at how to get our greatness on. Big Ideas include the fact that we've gotta move beyond our fears, obey our souls (always), be patient, pay attention to our habitual thoughts and, perhaps most importantly, if we want to be great we've gotta SERVE greatly.",PhilosophersNotes,Peak Performance
The Silva Mind Control Method of Mental Dynamics,"Let the Silva Method of Mind Development Teach You How to: Become More Secure and Self Aware, Improve Your Relationships, Be Physically Healthier, Develop a Zest for Living, Strengthen All Positive Aspects of Your Life",José Silva & Burt Goldman,"This book is one of the most densely packed with goodness books out there and in the Note we're going to explore the different brain waves and the fact that stress causes faster brain waves than relaxation along with how and why we want to drop into ""alpha"" as often as possible. Plus, we'll look at how to turn fear into excitement (really cool Idea!), the seven hermetic laws and the five rules for happiness.",PhilosophersNotes,Peak Performance
Unleash the Warrior Within,"Develop the Focus, Discipline, Confidence, and Courage You Need to Achieve Unlimited Goals",Richard Machowicz,"Richard Machowicz. Mack for short. He’s an intense, inspiring and empowering former Navy SEAL. He’s an ultimate warrior. In this book, Mack teaches us how we can unleash the warrior within ourselves to, as the sub- title suggests, “Develop the Focus, Discipline, Confidence, and Courage You Need to Achieve Unlimited Goals.” Big Ideas we explore include World War 0, “Not Dead Can’t Quit,” the #1 question (hint: Do you have the guts?), and 110% vs. 80%.",PhilosophersNotes,Peak Performance
#754 How to Make a Pearl,To Go with our Diamonds,,"One of our very first +1s was on a brilliant line from Steven Kotler. At the end of our interview about his great book The Rise of Superman,",+1s,Peak Performance
Meditation 101,How to meditate without moving to the himalayas,,"Meditation. It’s unequivocally awesome. But it can also get a little more esoteric than necessary. Enter: How to meditate without moving to the Himalayas! Here are my Top 10 Big Ideas on the nuts and bolts of how to create a great, sustainable practice.",101 Classes,Meditation
Conquest of Mind,,Eknath Easwaran,"The Conquest of Mind is an amazing book written by an equally amazing man: Eknath Easwaran. We use Easwaran’s translations for the Bhagavad Gita and The Dhammapada and in this book he provides all kinds of great ideas on how we can win “the war within.” In the Note we’ll explore the fact that we don’t want to be heroes in the beginning and then sneak out the back door, the fact that we can ALL change, and the miracles that can be created by hard work.",PhilosophersNotes,Meditation
Why Meditate?,Working with Thoughts and Emotions,Matthieu Ricard,"Why Meditate? According to Ricard, the ultimate reason is to transform ourselves so we can transform our world. That works for me! In this Note, we check out my favorite Big Ideas on working out our mindfulness muscles, looking at the power of neuroplasticity and highlighting the fact that it’s *all* about the consistent practice, working on our consciousness thought after thought and emotion by emotion.",PhilosophersNotes,Meditation
Living Untethered,Beyond the Human Predicament,Michael Singer,"This is our second note on one of Michael Singer's books. Michael Singer is one of my new favorite teachers and, after reading this book, I immediately picked up the first two books he wrote—nearly FIFTY years before he wrote this one. In this book, Singer shares a ton of big ideas that will help us truly surrender to what is, get perspective on our lives, and practice embracing the present moment so that we can get our own lives in harmony with reality. Let's go!",PhilosophersNotes,Meditation
The Relaxation Response,The classic mind/body approach that has helped millions conquer the harmful effects of stress.,Herbert Benson,"Originally published in 1975, this is an old-school classic on the science of meditation. Herbert Benson, MD, has been a Professor at Harvard Medical School and a leading figure in the mind/body movement for decades. Benson was the first to scientifically establish the significant positive effects of meditation. He called it the “Relaxation Response.” Big Ideas we explore: Fight-or-flight vs. Relaxation responses, how to elicit the relaxation response, the placebo effect (is powerful!), and the power of focus.",PhilosophersNotes,Meditation
The Relaxation Revolution,,Herbert Benson,"Did you know you can alter your gene’s expression through mind body practices like meditation? Yep. And Harvard MD Herbert Benson has the remarkable scientific data to prove it. In this Note, we’ll learn more about his “Relaxation Response” (think: opposite of “Fight-or-Flight Response”), why you should care about it and how to rock it.",PhilosophersNotes,Meditation
"Wherever You Go, There You Are",,Jon Kabat-Zinn,"Jon Kabat-Zinn is a Professor of Medicine at the University of Massachusetts and one of the world’s leading advocates for mindfulness training. He’s demonstrated the phenomenal health benefits of integrating meditation into our daily lives and in this Note we’ll learn about meditation—what it is, how we can rock it and what we can gain from doing so.",PhilosophersNotes,Meditation
Mindsight,The New Science of Personal Transformation,Dan Siegel,"Mindsight. It's the seventh sense you didn't know you had! Can you pay attention to the inner workings of your own mind? That's what Dr. Dan Siegel, one of the world's leading neuroscientists + psychotherapists, helps us do in this phenomenal book. We'll explore Big Ideas ranging from the basics of brain hygiene to the power of integration and how to live with more flexibility and coherence as we leverage the best of modern neuroscience.",PhilosophersNotes,Meditation
The Miracle of Mindfulness,An Introduction to the Practice of Meditation,Thich Nhat Hanh,"Written in 1975, The Miracle of Mindfulness is one of Thich Nhat Hanh’s earliest books. It was originally written as a long letter to one of his main staff members in South Vietnam—encouraging him during very challenging times to continue their work of “engaged Buddhism.” It’s beautifully written and packed with wisdom. Big Ideas we explore include what qualifies as a miracle (hint: it’s ALL a miracle), choosing to sit or stand but avoiding the wobble, how to balance on top of a bamboo pole and three questions to ponder.",PhilosophersNotes,Meditation
The Mindful Athlete,Secrets to Pure Performance,George Mumford,"Who does Zen master Phil Jackson go to when he wants to get his players' minds right? George Mumford. Mumford has coached everyone from Michael Jordan to Kobe Bryant and gives us a great introduction to mindfulness way beyond sports. Big Ideas we explore include Kobe's 1,300 3-pointers (PER DAY), romancing your discomfort zone, stepping in btwn stimulus and response, and REALLY listening to yourself.",PhilosophersNotes,Meditation
As a Man Thinketh,,James Allen,"Although somewhat obscure, James Allen is a wise guy and his essays have deeply influenced many of today's leading teachers. In this Note, we'll explore the fact that dreams are the seedlings of our future realities and we'll learn how important it is that we strengthen the power of our minds if we want to live an extraordinary life of meaning.",PhilosophersNotes,Meditation
21 Lessons for the 21st Century,,Yuval Noah Harari,"This is Yuval Noah Harari's third book (and our third Note). His first two focused on the past (Sapiens) and the future (Homo Deus). In this one, we ""zoom in on the here and now"" as we take a look at 21 of the most important things to be thinking about in the 21st century. Like all of his books, this is a thoughtful and thought-provoking look at some globally Big Ideas. Although obviously outside the scope of our normal Optimizing, I think it's important stuff. In the Note we explore dealing with ""Disillusionment"" (the title of chapter #1) by switching from ""panic to bewilderment""), the future of health care and driving (and jobs!), making sure we match our investment in developing AI with an equivalent investment in developing ""human consciousness,"" what we should be teaching our kids (basically, how to Optimize!!), and Yuval's #1 practice: meditation.",PhilosophersNotes,Meditation
